Comunidades y Ciudades Autónomas;Periodo año mes;Total Nacimientos
08 Castilla - La Mancha;1979M11;1.816
08 Castilla - La Mancha;1979M10;1.905
08 Castilla - La Mancha;1979M09;2.046
08 Castilla - La Mancha;1979M08;2.099
08 Castilla - La Mancha;1979M07;2.161
08 Castilla - La Mancha;1979M06;2.208
08 Castilla - La Mancha;1979M05;2.252
08 Castilla - La Mancha;1979M04;2.013
08 Castilla - La Mancha;1979M03;2.107
08 Castilla - La Mancha;1979M02;1.810
08 Castilla - La Mancha;1979M01;1.980
08 Castilla - La Mancha;1978M12;1.780
08 Castilla - La Mancha;1978M11;1.918
08 Castilla - La Mancha;1978M10;2.096
08 Castilla - La Mancha;1978M09;2.079
08 Castilla - La Mancha;1978M08;2.119
08 Castilla - La Mancha;1978M07;2.212
08 Castilla - La Mancha;1978M06;2.257
08 Castilla - La Mancha;1978M05;2.406
08 Castilla - La Mancha;1978M04;2.219
08 Castilla - La Mancha;1978M03;2.186
08 Castilla - La Mancha;1978M02;1.901
08 Castilla - La Mancha;1978M01;2.015
08 Castilla - La Mancha;1977M12;1.783
08 Castilla - La Mancha;1977M11;1.769
08 Castilla - La Mancha;1977M10;1.954
08 Castilla - La Mancha;1977M09;2.061
08 Castilla - La Mancha;1977M08;2.082
08 Castilla - La Mancha;1977M07;2.285
08 Castilla - La Mancha;1977M06;2.292
08 Castilla - La Mancha;1977M05;2.364
08 Castilla - La Mancha;1977M04;2.204
08 Castilla - La Mancha;1977M03;2.206
08 Castilla - La Mancha;1977M02;1.946
08 Castilla - La Mancha;1977M01;1.994
08 Castilla - La Mancha;1976M12;1.985
08 Castilla - La Mancha;1976M11;1.943
08 Castilla - La Mancha;1976M10;2.135
08 Castilla - La Mancha;1976M09;2.235
08 Castilla - La Mancha;1976M08;2.226
08 Castilla - La Mancha;1976M07;2.166
08 Castilla - La Mancha;1976M06;2.431
08 Castilla - La Mancha;1976M05;2.523
08 Castilla - La Mancha;1976M04;2.270
08 Castilla - La Mancha;1976M03;2.149
08 Castilla - La Mancha;1976M02;2.042
08 Castilla - La Mancha;1976M01;2.151
08 Castilla - La Mancha;1975M12;1.903
08 Castilla - La Mancha;1975M11;1.899
08 Castilla - La Mancha;1975M10;2.073
08 Castilla - La Mancha;1975M09;2.104
08 Castilla - La Mancha;1975M08;2.203
08 Castilla - La Mancha;1975M07;2.354
08 Castilla - La Mancha;1975M06;2.368
08 Castilla - La Mancha;1975M05;2.452
08 Castilla - La Mancha;1975M04;2.264
08 Castilla - La Mancha;1975M03;2.193
08 Castilla - La Mancha;1975M02;1.925
08 Castilla - La Mancha;1975M01;2.032
